Qno                Gb Correct?     Ob Correct?     Same Ob_h?     count(*) ob?     Ob_suffix?     Result Correct?
Q1                 True            True            True           False            False          True           
Q2                 True            True            True           False            False          True           
Q4                 True            False           True           False            True           True           
Q5                 True            False           True           False            True           True           
Q6                 True            False           True           False            True           True           
Q11                True            False           True           False            True           True           
Q10                True            False           True           False            True           True           
Q3                 True            False           True           False            True           True           
Q16                True            False           False          False            False          True           
Q17                True            True            True           False            False          True           
Q18                True            False           True           False            True           True           
Q21                True            True            True           False            False          True           
Q16_nep            True            True            True           False            False          True           
Q3_1               True            False           True           False            True           True           
Q16_nep_2          True            True            True           False            False          True           
Q_r                True            True            True           False            False          True           
Q_dt               True            True            True           False            False          True           
